ADDRESS;NAME;URLLINK;Geom;Geo Local Area
7110 Kerr St;Champlain Heights;http://www.vpl.ca/branches/details/champlain_heights_branch;"{""type"": ""Point"", ""coordinates"": [-123.0402, 49.2191]}";Killarney
1455 W 10th Av;Firehall;http://www.vpl.ca/branches/details/firehall_branch;"{""type"": ""Point"", ""coordinates"": [-123.1376, 49.2629]}";Fairview
2425 Macdonald St;Kitsilano;http://www.vpl.ca/branches/details/kitsilano_branch;"{""type"": ""Point"", ""coordinates"": [-123.1687, 49.2647]}";Kitsilano
1 Kingsway;Mount Pleasant;http://www.vpl.ca/branches/details/mount_pleasant_branch;"{""type"": ""Point"", ""coordinates"": [-123.1002, 49.2643]}";Mount Pleasant
6076 Fraser St;South Hill;http://www.vpl.ca/branches/details/south_hill_branch;"{""type"": ""Point"", ""coordinates"": [-123.0903, 49.2295]}";Sunset
4480 W 10th Av;West Point Grey;http://www.vpl.ca/branches/details/west_point_grey_branch;"{""type"": ""Point"", ""coordinates"": [-123.2086, 49.2635]}";West Point Grey
2969 E 22nd Av;Renfrew;http://www.vpl.ca/branches/details/renfrew_branch;"{""type"": ""Point"", ""coordinates"": [-123.043, 49.2524]}";Renfrew-Collingwood
1661 Napier St;Britannia;http://www.vpl.ca/branches/details/britannia_branch;"{""type"": ""Point"", ""coordinates"": [-123.0738, 49.2756]}";Grandview-Woodland
401 Main St;Carnegie;http://www.vpl.ca/branches/details/carnegie_branch;"{""type"": ""Point"", ""coordinates"": [-123.1001, 49.2811]}";Downtown
350 W Georgia St;Central Branch;http://www.vpl.ca/branches/details/central_library;"{""type"": ""Point"", ""coordinates"": [-123.1156, 49.2797]}";Downtown
4515 Dunbar St;Dunbar;http://www.vpl.ca/branches/details/dunbar_branch;"{""type"": ""Point"", ""coordinates"": [-123.1856, 49.246]}";Dunbar-Southlands
2674 E Hastings St;Hastings;http://www.vpl.ca/branches/details/hastings_branch;"{""type"": ""Point"", ""coordinates"": [-123.05, 49.2809]}";Hastings-Sunrise
1428 Cedar Cottage Mews;Kensington;http://www.vpl.ca/branches/details/kensington_branch;"{""type"": ""Point"", ""coordinates"": [-123.0753, 49.2491]}";Kensington-Cedar Cottage
191-650 W 41st Av;Oakridge;http://www.vpl.ca/branches/details/oakridge_branch;"{""type"": ""Point"", ""coordinates"": [-123.1172, 49.2327]}";Oakridge
4575 Clancy Loranger Way;Terry Salman;http://www.vpl.ca/location/terry-salman-branch;"{""type"": ""Point"", ""coordinates"": [-123.1079, 49.2438]}";Riley Park
592 E Pender St;Strathcona;http://www.vpl.ca/branches/details/strathcona_branch;"{""type"": ""Point"", ""coordinates"": [-123.0915, 49.2798]}";Strathcona
2985 Kingsway;Collingwood;http://www.vpl.ca/branches/details/collingwood_branch;"{""type"": ""Point"", ""coordinates"": [-123.0426, 49.2362]}";Renfrew-Collingwood
1950 Argyle Drive;Fraserview;http://www.vpl.ca/branches/details/fraserview_branch;"{""type"": ""Point"", ""coordinates"": [-123.0669, 49.2197]}";Victoria-Fraserview
870 Denman St;Joe Fortes;http://www.vpl.ca/branches/details/joe_fortes_branch;"{""type"": ""Point"", ""coordinates"": [-123.1361, 49.2899]}";West End
2112 W 42nd Av;Kerrisdale;http://www.vpl.ca/branches/details/kerrisdale_branch;"{""type"": ""Point"", ""coordinates"": [-123.1571, 49.2332]}";Kerrisdale
8386 Granville St;Marpole;http://www.vpl.ca/branches/details/marpole_branch;"{""type"": ""Point"", ""coordinates"": [-123.14, 49.2104]}";Marpole
302-345 Robson St;Outreach Services;http://www.vpl.ca/branches/details/outreach_branch;"{""type"": ""Point"", ""coordinates"": [-123.1156, 49.2797]}";Downtown
